ID	Địa chỉ	Diện tích	Số phòng ngủ	Số toilet	Nội thất	Mức giá	Ngày đăng tin
41299492.0	2	30.0	1.0	1.0	2	4.9	2024-10-23
40462163.0	7	30.0	1.0	1.0	0	5.9	2024-10-21
39568819.0	7	40.0	1.0	1.0	2	6.0	2024-10-08
38094169.0	22	30.0	1.0	1.0	0	7.5	2024-10-23
41250561.0	1	40.0	1.0	1.0	2	9.0	2024-10-18
41296762.0	2	20.0	1.0	1.0	0	7.5	2024-10-23
41296721.0	2	20.0	1.0	1.0	0	7.5	2024-10-23
41259704.0	9	35.0	1.0	1.0	1	4.7	2024-10-19
41299393.0	4	20.0	1.0	1.0	0	3.5	2024-10-23
41299338.0	8	30.0	1.0	1.0	2	5.5	2024-10-23
41039878.0	14	40.0	1.0	1.0	2	6.8	2024-09-27
41047401.0	14	40.0	1.0	1.0	2	6.8	2024-09-28
41148847.0	13	40.0	1.0	1.0	0	6.0	2024-10-08
41269354.0	1	20.0	1.0	1.0	2	5.0	2024-10-21
41296319.0	15	25.0	1.0	1.0	1	2.9	2024-10-23
41298966.0	4	30.0	1.0	1.0	2	6.0	2024-10-23
40459086.0	7	25.0	2.0	1.0	2	4.3	2024-10-23
39205469.0	2	30.0	1.0	1.0	1	5.0	2024-10-19
40422299.0	9	30.0	1.0	1.0	1	3.8	2024-10-21
38760023.0	1	25.0	1.0	1.0	2	5.2	2024-10-15
39080532.0	2	27.0	1.0	1.0	1	4.8	2024-10-22
40428879.0	1	25.0	1.0	1.0	2	5.5	2024-10-15
39728951.0	15	32.0	1.0	1.0	1	3.0	2024-10-22
41066100.0	14	12.0	1.0	1.0	0	2.6	2024-09-30
41298475.0	9	20.0	1.0	1.0	2	3.6	2024-10-23
41298959.0	13	25.0	1.0	1.0	1	4.4	2024-10-23
41298917.0	7	25.0	1.0	1.0	2	4.3	2024-10-23
41298658.0	7	30.0	1.0	1.0	2	5.0	2024-10-23
31959504.0	14	20.0	1.0	1.0	1	4.3	2024-10-23
41266730.0	9	25.0	1.0	1.0	0	3.0	2024-10-20
40364041.0	4	40.0	1.0	1.0	2	7.0	2024-10-23
41141980.0	13	20.0	1.0	1.0	2	5.0	2024-10-21
14509716.0	2	16.0	1.0	1.0	2	3.5	2024-10-21
41265669.0	4	22.0	1.0	1.0	0	4.6	2024-10-20
36438891.0	9	70.0	2.0	2.0	2	1.09	2024-10-13
41298561.0	14	50.0	2.0	1.0	2	10.0	2024-10-23
41298183.0	2	30.0	1.0	1.0	0	5.9	2024-10-23
41298445.0	13	30.0	1.0	1.0	2	6.2	2024-10-23
41298433.0	1	23.0	1.0	1.0	2	3.2	2024-10-23
41298312.0	2	30.0	1.0	1.0	1	5.8	2024-10-23
40474767.0	15	25.0	1.0	1.0	1	4.8	2024-10-23
41298035.0	7	20.0	1.0	1.0	2	6.0	2024-10-23
41197266.0	2	24.0	1.0	1.0	2	5.2	2024-10-23
41197227.0	2	24.0	1.0	1.0	2	5.2	2024-10-23
41298195.0	7	22.0	1.0	1.0	2	3.5	2024-10-23
37670022.0	13	35.0	1.0	1.0	2	7.0	2024-10-23
40919846.0	8	35.0	1.0	1.0	2	4.5	2024-10-23
38625897.0	2	22.0	1.0	1.0	2	5.2	2024-10-23
38715289.0	2	22.0	1.0	1.0	0	5.2	2024-10-23
